iter	RMSE
0	13216.15603
1	12285.14091
2	11987.05378
3	11432.94125
4	11108.68144
5	11018.63783
6	10781.95787
7	10753.87328
8	10482.83975
9	10456.78605
10	10303.5923
11	9834.498699
12	9823.730058
13	9497.690351
14	9454.10558
15	9059.552575
16	8983.556391
17	8867.368467
18	8473.703328
19	8462.541064
20	8450.50042
21	8444.579441
22	8432.248104
23	8423.55215
24	8347.489338
25	8341.103388
26	8199.932771
27	8198.189719
28	7909.481127
29	7907.938558
30	7881.380145
31	7879.212818
32	7624.859084
33	7569.346831
34	7345.119443
35	7343.620603
36	7109.975681
37	7089.34338
38	7058.755725
39	6947.084805
40	6941.847075
41	6892.898052
42	6888.439692
43	6876.413683
44	6704.591466
45	6702.943304
46	6699.064374
47	6697.597559
48	6696.359231
49	6540.935691
50	6537.438801
51	6534.465582
52	6529.122
53	6523.533629
54	6510.767834
55	6508.239668
56	6498.729691
57	6367.595447
58	6333.36096
59	6211.267592
60	6209.020446
61	6150.303351
62	6110.844454
63	6108.895339
64	6002.671296
65	5985.124095
66	5901.259045
67	5892.458479
68	5871.141168
69	5794.231991
70	5792.485012
71	5756.817893
72	5746.160141
73	5736.31895
74	5734.816595
75	5666.398518
76	5608.901831
77	5596.999397
78	5548.394786
79	5547.066887
80	5498.468838
81	5460.026036
82	5455.007744
83	5450.41365
84	5449.264842
85	5448.287726
86	5442.384308
87	5438.284492
88	5431.052076
89	5388.558251
90	5348.710002
91	5330.004418
92	5323.852559
93	5319.069411
94	5316.899648
95	5313.665434
96	5312.965561
97	5307.848317
98	5304.828686
99	5283.914262
100	5268.884895
101	5219.675843
102	5190.332452
103	5159.332308
104	5149.489252
105	5122.894195
106	5089.980098
107	5089.371289
108	5087.113083
109	5064.852709
110	5054.869852
111	5032.847392
112	5032.096984
113	5028.510474
114	5027.447938
115	5016.255013
116	5013.983867
117	5009.913999
118	5009.468297
119	4985.583522
120	4968.647899
121	4961.667825
122	4931.362666
123	4930.970223
124	4900.713502
125	4896.495913
126	4880.428302
127	4877.868529
128	4866.834787
129	4851.238134
130	4850.974291
131	4824.620576
132	4791.836862
133	4763.089811
134	4752.286093
135	4747.503474
136	4738.982163
137	4735.763684
138	4727.91768
139	4726.2309
140	4724.052202
141	4714.752321
142	4707.830095
143	4707.528743
144	4704.583461
145	4702.957352
146	4700.403958
147	4692.192343
148	4687.005416
149	4671.907909
150	4660.511394
151	4655.061551
152	4654.309633
153	4650.04637
154	4646.619327
155	4630.747967
156	4629.24796
157	4612.093248
158	4610.755959
159	4606.426369
160	4604.061499
161	4603.302209
162	4602.417117
163	4581.522107
164	4568.000746
165	4564.500057
166	4560.583047
167	4559.122122
168	4536.826026
169	4534.760643
170	4533.031039
171	4514.930124
172	4499.539835
173	4495.011002
174	4494.835063
175	4481.732173
176	4481.024908
177	4480.151609
178	4478.396891
179	4474.173968
180	4474.050442
181	4472.770107
182	4468.753262
183	4467.245751
184	4466.204198
185	4461.40818
186	4460.333358
187	4456.173603
188	4449.619269
189	4449.243947
190	4421.562861
191	4415.533714
192	4413.220595
193	4411.430933
194	4408.340895
195	4400.882461
196	4396.221911
197	4393.775777
198	4384.082822
199	4382.893988
200	4379.471031
201	4376.805247
202	4376.125357
203	4357.983271
204	4356.643706
205	4354.121287
206	4347.674414
207	4346.762241
208	4345.824436
209	4344.093924
210	4344.071566
211	4342.480447
212	4341.833617
213	4330.435908
214	4328.006071
215	4318.305416
216	4315.11419
217	4306.862242
218	4302.809201
219	4302.119255
220	4301.583106
221	4294.418229
222	4293.734153
223	4288.907045
224	4288.888103
225	4278.237413
226	4273.549665
227	4266.976221
228	4259.876003
229	4258.075146
230	4257.815706
231	4251.780298
232	4249.261848
233	4249.178862
234	4248.954476
235	4247.414327
236	4242.909995
237	4241.913059
238	4233.928999
239	4233.610308
240	4227.342188
241	4226.445431
242	4220.267564
243	4218.550279
244	4215.586638
245	4213.839756
246	4210.497081
247	4209.19122
248	4208.523486
249	4208.514483
250	4201.188064
251	4195.353243
252	4188.708187
253	4184.943884
254	4179.702774
255	4175.629145
256	4175.408693
257	4164.997094
258	4163.047571
259	4159.829182
260	4154.074861
261	4153.040669
262	4151.917509
263	4146.418387
264	4145.918499
265	4144.236038
266	4139.735475
267	4139.725561
268	4138.837098
269	4137.02507
270	4136.068404
271	4125.828169
272	4123.806397
273	4119.956106
274	4117.174005
275	4114.207834
276	4111.743673
277	4110.383457
278	4104.905277
279	4101.61759
280	4096.727861
281	4096.329845
282	4091.588843
283	4090.957702
284	4089.557241
285	4078.64378
286	4076.648558
287	4073.208286
288	4072.643291
289	4065.995121
290	4059.986628
291	4057.423663
292	4055.470221
293	4053.413427
294	4051.506325
295	4049.146437
296	4041.089723
297	4037.625498
298	4036.469778
299	4035.407301
300	4034.830654
301	4027.775137
302	4027.520831
303	4026.687755
304	4024.678065
305	4024.671666
306	4020.738669
307	4017.865295
308	4016.255617
309	4015.770899
310	4015.183835
311	4014.470049
312	4014.103893
313	4011.880048
314	4011.408429
315	4011.036779
316	4008.92988
317	4008.596381
318	4008.109542
319	4007.032115
320	4005.510699
321	4002.57864
322	3997.862236
323	3995.921418
324	3992.761857
325	3992.233364
326	3991.164873
