iter	Passed	Remaining
0	2	714
1	4	699
2	6	704
3	8	692
4	10	690
5	12	684
6	15	694
7	17	691
8	19	690
9	21	682
10	23	684
11	25	679
12	27	670
13	29	669
14	32	666
15	34	667
16	36	666
17	38	665
18	40	663
19	42	659
20	45	659
21	47	657
22	49	656
23	51	654
24	54	654
25	56	651
26	58	649
27	60	645
28	62	642
29	65	644
30	67	643
31	69	640
32	71	637
33	73	635
34	75	632
35	77	628
36	80	627
37	82	625
38	84	623
39	86	622
40	88	618
41	90	616
42	92	613
43	95	612
44	97	610
45	99	606
46	101	603
47	103	600
48	105	598
49	107	597
50	109	593
51	111	590
52	113	588
53	115	586
54	118	584
55	120	582
56	122	580
57	124	578
58	127	576
59	129	575
60	131	572
61	133	571
62	135	569
63	137	566
64	140	565
65	142	564
66	144	562
67	147	559
68	149	558
69	151	556
70	153	553
71	155	551
72	157	549
73	160	547
74	161	544
75	164	542
76	166	540
77	168	537
78	170	536
79	172	533
80	174	531
81	177	529
82	179	527
83	181	525
84	183	522
85	185	520
86	187	517
87	189	515
88	192	513
89	194	511
90	196	509
91	198	507
92	200	505
93	203	503
94	205	501
95	207	499
96	209	497
97	211	494
98	214	493
99	216	491
100	218	489
101	220	487
102	222	484
103	225	483
104	227	480
105	229	478
106	231	476
107	234	474
108	236	472
109	238	469
110	240	467
111	242	465
112	244	463
113	247	461
114	249	459
115	251	457
116	253	455
117	255	453
118	257	450
119	260	448
120	263	447
121	265	445
122	267	443
123	269	440
124	271	439
125	273	436
126	276	435
127	278	432
128	280	430
129	282	428
130	284	426
131	287	424
132	289	422
133	291	420
134	293	417
135	295	415
136	298	413
137	300	411
138	302	409
139	304	407
140	307	405
141	309	403
142	311	400
143	313	398
144	315	396
145	317	394
146	320	392
147	322	390
148	325	388
149	327	386
150	329	384
151	331	381
152	333	379
153	335	377
154	338	375
155	340	373
156	342	371
157	344	368
158	347	366
159	349	364
160	351	362
161	353	360
162	355	357
163	357	355
164	360	353
165	362	351
166	364	349
167	366	347
168	369	345
169	371	342
170	373	340
171	375	338
172	377	336
173	379	334
174	381	331
175	384	329
176	386	327
177	388	325
178	390	323
179	392	320
180	394	318
181	396	316
182	399	314
183	401	311
184	403	309
185	406	307
186	408	305
187	410	303
188	413	302
189	416	300
190	418	297
191	420	295
192	424	294
193	426	292
194	429	290
195	431	288
196	433	286
197	436	284
198	438	282
199	440	279
200	442	277
201	445	275
202	447	273
203	449	271
204	451	268
205	454	266
206	456	264
207	458	262
208	461	260
209	464	258
210	466	256
211	468	254
212	470	251
213	472	249
214	474	247
215	477	245
216	479	243
217	481	240
218	484	238
219	486	236
220	488	234
221	490	232
222	492	229
223	495	227
224	497	225
225	499	223
226	501	220
227	503	218
228	505	216
229	508	214
230	510	212
231	512	209
232	514	207
233	516	205
234	518	202
235	520	200
236	523	198
237	525	196
238	527	194
239	529	191
240	531	189
241	534	187
242	536	185
243	538	183
244	540	181
245	543	178
246	545	176
247	547	174
248	549	172
249	551	170
250	554	167
251	556	165
252	558	163
253	560	161
254	562	158
255	565	156
256	567	154
257	569	152
258	571	150
259	573	147
260	576	145
261	578	143
262	580	141
263	583	139
264	585	136
265	587	134
266	589	132
267	591	130
268	593	127
269	595	125
270	597	123
271	600	121
272	602	119
273	604	116
274	606	114
275	608	112
276	611	110
277	613	108
278	615	105
279	617	103
280	619	101
281	622	99
282	624	97
283	626	94
284	628	92
285	630	90
286	632	88
287	635	86
288	637	83
289	639	81
290	641	79
291	644	77
292	646	75
293	648	72
294	651	70
295	653	68
296	655	66
297	657	64
298	660	61
299	662	59
300	664	57
301	667	55
302	669	53
303	672	50
304	675	48
305	677	46
306	679	44
307	682	42
308	684	39
309	689	37
310	691	35
311	694	33
312	697	31
313	699	28
314	701	26
315	704	24
316	706	22
317	708	20
318	711	17
319	713	15
320	716	13
321	719	11
322	722	8
323	725	6
324	728	4
325	730	2
326	734	0
